序号,发票代码,发票号码,数电票号码,销方识别号,销方名称,购方识别号,购买方名称,开票日期,税收分类编码,特定业务类型,货物或应税劳务名称,规格型号,单位,数量,单价,金额,税率,税额,价税合计,发票来源,发票票种,发票状态,是否正数发票,发票风险等级,开票人,备注
1,,,23312000000180955018,913101016726879178,上海中招招标有限公司,91310117MA1J222C3C,ABC有限公司,2023-12-29 15:12:46,3049900000000000000,,*现代服务*标书费,-,-,1,283.018867924528,283.02,6%,16.98,300,电子发票服务平台,数电票（增值税专用发票）,正常,是,正常,王健,
2,,,23312000000179110315,91310115MA1K4HD67J,上海茵赫餐饮管理有限公司,91310117MA1J222C3C,ABC有限公司,2023-12-28 12:43:44,3070401000000000000,,*餐饮服务*餐饮服务,,,,,94.34,6%,5.66,100,电子发票服务平台,数电票（普通发票）,正常,是,正常,赖明丽,
3,,,23312000000179077531,91310104MA1FRCH78K,悦椿轩（上海）餐饮管理有限公司,91310117MA1J222C3C,ABC有限公司,2023-12-28 12:19:16,3070401000000000000,,*餐饮服务*餐饮服务,,次,,,6603.77,6%,396.23,7000,电子发票服务平台,数电票（普通发票）,正常,是,正常,邹莲青,商标号57830655
4,044032200411,30717100,--,91440300699068972M,深圳绿米联创科技有限公司,91310117MA1J222C3C,ABC有限公司,2023-12-28 11:09:36,1090599000000000000,,*其他电子设备*Aqara智能墙壁开关E1零火单键,,PCS,-5.0,70.8850,-354.43,13%,-46.07,-400.5,增值税发票管理系统,增值税电子普通发票,正常,否,正常,杨日红,对应正数发票代码:044032200411 号码:30708623
5,044032200411,30717100,--,91440300699068972M,深圳绿米联创科技有限公司,91310117MA1J222C3C,ABC有限公司,2023-12-28 11:09:36,1090599000000000000,,*其他电子设备*Aqara 墙壁开关E1零火三键白色,,PCS,-2.0,86.8142,-173.63,13%,-22.57,-196.2,增值税发票管理系统,增值税电子普通发票,正常,否,正常,杨日红,对应正数发票代码:044032200411 号码:30708623
6,044032200411,30717100,--,91440300699068972M,深圳绿米联创科技有限公司,91310117MA1J222C3C,ABC有限公司,2023-12-28 11:09:36,1090599000000000000,,*其他电子设备*Aqara智能墙壁开关E1零火线双键,,PCS,-3.0,78.8496,-236.55,13%,-30.75,-267.3,增值税发票管理系统,增值税电子普通发票,正常,否,正常,杨日红,对应正数发票代码:044032200411 号码:30708623
7,,,23312000000177852157,913101186873568462,上海助业医疗器械有限公司,91310117MA1J222C3C,ABC有限公司,2023-12-27 14:18:08,1090242010000000000,,*医疗仪器器械*髂股静脉支架,VENEM14100,副,1,10426,10426,13%,1355.38,11781.38,电子发票服务平台,数电票（增值税专用发票）,正常,是,正常,孙倩倩,
8,031002200711,54323640,--,91310120MA1HM2CB68,上海奉浦苏宁易购销售有限公司,91310117MA1J222C3C,ABC有限公司,2023-12-27 14:05:40,1070222020000000000,,*洗涤剂*finish亮碟洗碗粉盐剂-活动,finish亮碟洗碗粉盐剂-活动,件,1.00000000,119.02654867,119.03,13%,15.47,134.5,增值税发票管理系统,增值税电子普通发票,正常,是,正常,蔡艳歌,33254088282
9,031002200711,54323640,--,91310120MA1HM2CB68,上海奉浦苏宁易购销售有限公司,91310117MA1J222C3C,ABC有限公司,2023-12-27 14:05:40,1070222020000000000,,*洗涤剂*finish亮碟洗碗粉盐剂-活动,,,,,-23.81,13%,-3.09,-26.9,增值税发票管理系统,增值税电子普通发票,正常,是,正常,蔡艳歌,33254088282
10,,,23312000000177706222,91310104MAC6G86R2F,上海徐汇食知记餐饮娱乐有限公司,91310117MA1J222C3C,ABC有限公司,2023-12-27 13:31:06,3070401000000000000,,*餐饮服务*餐饮,,,414,0.9433962264151,390.57,6%,23.43,414,电子发票服务平台,数电票（普通发票）,正常,是,正常,潘丽霞,
