序号,发票代码,发票号码,数电票号码,销方识别号,销方名称,购方识别号,购买方名称,开票日期,金额,税额,价税合计,发票来源,发票票种,发票状态,是否正数发票,发票风险等级,开票人,备注
1,,24312000000415572801,24312000000415572801,91310117MA1J222C3C,ABC有限公司,91310120MAC2A6RL5D,上海科逻医疗器械销售有限公司,2024-12-30 10:10:18,16247.7,2112.21,18359.91,电子发票服务平台,数电票（增值税专用发票）,正常,是,正常,陈宏,
2,,24312000000410923868,24312000000410923868,91310117MA1J222C3C,ABC有限公司,91320507MA21C04U89,南京医药苏州恒捷医疗科技有限公司,2024-12-26 11:34:39,45097.1,5862.62,50959.72,电子发票服务平台,数电票（增值税专用发票）,正常,是,正常,陈宏,
3,,24312000000410562612,24312000000410562612,91310117MA1J222C3C,ABC有限公司,91310118MA1JNAYW7B,海鲲医疗科技（上海）有限公司,2024-12-26 09:36:07,11734.14,1525.44,13259.58,电子发票服务平台,数电票（增值税专用发票）,正常,是,正常,陈宏,
4,,24312000000410534287,24312000000410534287,91310117MA1J222C3C,ABC有限公司,913101106854614311,上海筑瑞医疗器械有限公司,2024-12-26 09:25:44,15798.67,2053.83,17852.5,电子发票服务平台,数电票（增值税专用发票）,正常,是,正常,陈宏,09133190
5,,24312000000402522929,24312000000402522929,91310117MA1J222C3C,ABC有限公司,91320507MA21C04U89,南京医药苏州恒捷医疗科技有限公司,2024-12-20 13:59:48,23364.96,3037.44,26402.4,电子发票服务平台,数电票（增值税专用发票）,正常,是,正常,陈宏,
6,,24312000000401506046,24312000000401506046,91310117MA1J222C3C,ABC有限公司,91360983MABYMMWYXW,江西必强医疗器械有限公司,2024-12-19 17:56:51,6615.93,860.07,7476,电子发票服务平台,数电票（增值税专用发票）,正常,是,正常,陈宏,
7,,24312000000396096597,24312000000396096597,91310117MA1J222C3C,ABC有限公司,91320507MA21C04U89,南京医药苏州恒捷医疗科技有限公司,2024-12-16 15:21:42,15733.77,2045.39,17779.16,电子发票服务平台,数电票（增值税专用发票）,正常,是,正常,陈宏,
8,,24312000000391956761,24312000000391956761,91310117MA1J222C3C,ABC有限公司,91310120MA1JKAFQ01,澄逸实业（上海）有限公司,2024-12-12 16:54:34,11504.42,1495.58,13000,电子发票服务平台,数电票（增值税专用发票）,正常,是,正常,陈宏,
9,,24312000000391188991,24312000000391188991,91310117MA1J222C3C,ABC有限公司,310107425639330,上海市普陀区中心医院,2024-12-12 12:03:20,66973.44,8706.56,75680,电子发票服务平台,数电票（普通发票）,正常,是,正常,陈宏,
10,,24312000000391177324,24312000000391177324,91310117MA1J222C3C,ABC有限公司,310107425639330,上海市普陀区中心医院,2024-12-12 11:56:14,72723.92,9454.08,82178,电子发票服务平台,数电票（普通发票）,正常,是,正常,陈宏,
11,,24312000000391163475,24312000000391163475,91310117MA1J222C3C,ABC有限公司,310107425639330,上海市普陀区中心医院,2024-12-12 11:49:40,-72723.92,-9454.08,-82178,电子发票服务平台,数电票（普通发票）,正常,否,正常,陈宏,被红冲蓝字数电票号码：24312000000380221443 红字发票信息确认单编号：31022724121004901335
12,,24312000000390247826,24312000000390247826,91310117MA1J222C3C,ABC有限公司,91310118MA1JP6WU8W,上海如拓科技有限公司,2024-12-11 16:17:09,-80137.45,-10417.87,-90555.32,电子发票服务平台,数电票（增值税专用发票）,正常,否,正常,夏群娜,被红冲蓝字数电票号码：24312000000020153857 红字发票信息确认单编号：31022924121003202543
13,,24312000000390246060,24312000000390246060,91310117MA1J222C3C,ABC有限公司,91310118MA1JP6WU8W,上海如拓科技有限公司,2024-12-11 16:16:47,-41562.36,-5403.1,-46965.46,电子发票服务平台,数电票（增值税专用发票）,正常,否,正常,夏群娜,被红冲蓝字数电票号码：23312000000136634429 红字发票信息确认单编号：31022924121003002372
14,,24312000000390245250,24312000000390245250,91310117MA1J222C3C,ABC有限公司,91310118MA1JP6WU8W,上海如拓科技有限公司,2024-12-11 16:16:24,-3656.87,-475.39,-4132.26,电子发票服务平台,数电票（增值税专用发票）,正常,否,正常,夏群娜,被红冲蓝字数电票号码：23312000000124370788 红字发票信息确认单编号：31022924121004502671
