id,serial_number,tax_type,incentive _category,incentive _subcategory,incentive_items,qualification,incentive_method,incentive_name,detailed_rules,detailed_terms,keywords,legal_basis,special_notes,explanation,effective_date,expiry_date,applicable_region,policy_status,industry_scope,enterprise_type,discount_rate,application_process,required_documents,data_source,data_quality,last_verified_date,created_at,updated_at,tags
1,1,增值税,改善民生,提高居民收入,销售自产农业产品,农业生产者销售的自产农业产品，指直接从事植物的种植、收割和动物的饲养、捕捞的单位或个人销售的注释所列的自产农业产品。1、农业，是指种植业、养殖业、林业、牧业、水产业。2、农业生产者，包括从事农业生产的单位和个人。 3、农产品，是指初级农产品，具体范围由财政部、国家税务总局确定。,免征,销售自产农业产品增值税免征优惠,1、农业生产者销售的自产农产品免征增值税。2、人工合成牛胚胎的生产过程属于农业生产，纳税人销售自产人工合成牛胚胎应免征增值税。3、自2010年12月1日起，制种企业在下列生产经营模式下生产销售种子，属于农业生产者销售自产农业产品，免征增值税。（1）制种企业利用自有土地或承租土地，雇佣农户或雇工进行种子繁育，再经烘干、脱粒、风筛等深加工后销售种子；（2）制种企业提供亲本种子委托农户繁育并从农户手中收回，再经烘干、脱粒、风筛等深加工后销售种子。4、纳税人采取“公司＋农户”经营模式从事畜禽饲养，纳税人回收再销售畜禽，属于农业生产者销售自产农产品，免征增值税。,,销售自产农业产品 免税 优惠 增值税 免征,1、《中华人民共和国增值税暂行条例（2017修订）》第十五条；2、《增值税暂行条例实施细则》（财法字[1993]38号）第三十一条；3、《国家税务总局关于人工合成牛胚胎适用增值税税率问题的通知》（国税函[2010]97号）；4、《国家税务总局关于制种行业增值税有关问题的公告》（国家税务总局公告2010年第17号）；5、《国家税务总局关于纳税人采取“公司+农户”经营模式销售畜禽有关增值税问题的公告》（国家税务总局公告2013年第8号）；6、《财政部 国家税务总局关于印发〈农业产品征税范围注释〉的通知》（财税字[1995]52号）。,对上述单位和个人销售的外购的农业产品，以及单位和个人外购农业产品生产、加工后销售的仍然属于注释所列的农业产品，不属于免税的范围，应当按照规定税率征收增值税。,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
2,2,增值税,支持其他各项事业,其他,粮食和食用植物油,1、免征增值税的国有粮食购销企业，需按规定，办理备案手续。相关手续见《国家税务总局关于明确部分增值税优惠政策审批事项取消后有关管理事项的公告》（国家税务总局公告2015年第38号）。 2、承担粮食收储任务的国有粮食购销企业和经营本通知所列免税项目的其他粮食经营企业，以及有政府储备食用植物油销售业务的企业，均需经主管税务机关审核认定免税资格，未报经主管税务机关审核认定，不得免税。享受免税优惠的企业，应按期进行免税申报，违反者取消其免税资格。3、粮食部门应向同级国家税务局提供军队用粮、救灾救济粮、水库移民口粮的单位、供应数量等有关资料，经国家税务局审核无误后予以免税。,免征,粮食和食用植物油增值税免征优惠,1、承担粮食收储任务的国有粮食购销企业和经营本通知所列免税项目的其他粮食经营企业，以及有政府储备食用植物油销售业务的企业，其涉及的税收审核、审批工作程序取消，改为备案管理； 2、增值税免税政策适用范围由粮食扩大到粮食和大豆，并可对免税业务开具增值税专用发票； 3、对其他粮食企业经营粮食，除下列项目免征增值税外，一律征收增值税； （1）军队用粮：指凭军用粮票和军粮供应证按军供价供应中国人民解放军和中国人民武警察部队的粮食。 （2）救灾救济粮：指经县（含）以上人民政府批准，凭救灾救济粮票（证）按规定的销售价格向需救助的灾民供应的粮食。对粮食部门经营的退耕还林还草补助粮，凡符合国家规定标准的，比照“救灾救济粮”免征增值税。 （3）水库移民口粮：指经县（含）以上人民政府批准，凭水库移民口粮票（证）按规定销售价格供应给水库移民的粮食。 4、对政府储备食用植物油的销售免征增值税。 5、为粮食部门经营的退耕还林还草补助粮，凡符合国家规定标准的，比照“救灾救济粮”免征增值税。,,免税 优惠 粮食和食用植物油 增值税 免征,1、《财政部、国家税务总局关于粮食企业增值税征免问题的通知》（财税字[1999]198号），其中第一条被废止； 2、《国家税务总局关于退耕还林还草补助粮免征增值税问题的通知》（国税发[2001]131号）； 3、《国家税务总局关于国有粮食购销企业销售粮食免征增值税审批事项取消后有关管理事项的公告》（国税总局公告[2015]42号）；4、《财政部、国家税务总局关于免征储备大豆增值税政策的通知》（财税[2014]38号）。,1、《国家税务总局关于国有粮食购销企业销售粮食免征增值税审批事项取消后有关管理事项的公告》（国税总局公告[2015]42号）废止《财政部、国家税务总局关于粮食企业增值税征免问题的通知》（财税字[1999]198号）第一条规定，对承担粮食收储任务的国有粮食购销企业销售的粮食免征增值税。免征增值税的国有粮食购销企业，由县（市）国家税务局会同同级财政、粮食部门审核确定。 2、《财政部、国家税务总局关于粮食企业增值税征免问题的通知》（财税字[1999]198号），其中第一条被《国家税务总局关于国有粮食购销企业销售粮食免征增值税审批事项取消后有关管理事项的公告》（2015年5月22日发布）部分废止，其中第一条中“免征增值税的国有粮食购销企业，由县（市）国家税务局会同同级财政、粮食部门审核确定”内容被废止。,1、对粮油加工业务，一律照章征收增值税。 2、对销售食用植物油业务，除政府储备食用植物油的销售继续免征增值税外，一律照章征收增值税。 3、享受免税优惠的国有粮食购销企业可继续使用增值税专用发票。 ,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
3,3,增值税,支持三农,肥料饲料,农业生产资料,,免征,农业生产资料免征增值税优惠,1、农膜：免征增值税。 2、有机肥产品免征增值税：有机肥料按《有机肥料》（NY525—2012）标准执行，有机-无机复混肥料按《有机-无机复混肥料》（GB18877—2009）标准执行，生物有机肥按《生物有机肥》（NY884—2012）标准执行。 3、批发和零售的种子、种苗、农药、农机 ：免征增值税。 4、滴灌带和滴灌管产品 ：免征增值税 ,,免税 优惠 农业生产资料 增值税 免征,1、《财政部、国家税务总局关于若干农业生产资料征免增值税政策的通知》（财税[2001]113号）；  2、《财政部、国家税务总局关于暂免征收尿素产品增值税的通知》（财税[2005]87号）； 3、《财政部、国家税务总局关于免征滴灌带和滴灌管产品增值税的通知》（财税[2007]83号）；4、《财政部、国家税务总局关于有机肥产品免征增值税的通知》（财税[2008]56号）；5、《国家税务总局关于明确有机肥产品执行标准的公告》（国家税务总局公告2015年第86号）                          ,1、自2015年9月1日起，对纳税人销售和进口化肥统一按13%税率征收国内环节和进口环节增值税。钾肥增值税先征后返政策同时停止执行（财税[2015]90号）。 2、自2003年1月1日起，停止执行对部分列名进口农药（成药、原药）免征进口环节增值税的政策，已征收的保证金转为税款；自2004年1月1日起，停止执行对部分进口农药原料及中间体进口环节增值税先征后返的政策。自2004年1月1日起，《财政部、国家税务总局关于若干农业生产资料征免增值税政策通知》（财税[2001]113号）第一条第3项关于对国产农药免征生产环节增值税的政策停止执行。（财税[2003]186号）,1、滴灌带和滴灌管产品是指农业节水滴灌系统专用的、具有制造过程中加工的孔口或其他出流装置、能够以滴状或连续流状出水的水带和水管产品。滴灌带和滴灌管产品按照国家有关质量技术标准要求进行生产，并与PVC管（主管）、PE管（辅管）、承插管件、过滤器等部件组成为滴灌系统。 2、有机肥料是指来源于植物和（或）动物，施于土壤以提供植物营养为主要功能的含碳物料。有机-无机复混肥料，是指由有机和无机肥料混合和（或）化合制成的含有一定量有机肥料的复混肥料。生物有机肥，是指特定功能微生物与主要以动植物残体（如禽畜粪便、农作物秸秆等）为来源并经无害化处理、腐熟的有机物料复合而成的一类兼具微生物肥料和有机肥效应的肥料。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
4,4,增值税,支持三农,肥料饲料,饲料,,免征,饲料增值税免征优惠,免税饲料产品范围包括：1、单一大宗饲料。注：除豆粕以外的其他粕类饲料产品、饲用鱼油、饲料级磷酸二氢钙，免征增值税。2.混合饲料。3.配合饲料。注：精料补充料属于“配合饲料”范畴，属于免税饲料产品范围。4、复合预混料。5、浓缩饲料。注：矿物质微量元素舔砖，即以四种以上微量元素、非营养性添加剂和载体为原料，经高压浓缩制成的块状预混物，可供牛、羊等牲畜直接食用，免征增值税。自2007年1月1日起，对进口的矿物质微量元素舔砖免征进口环节增值税。,,饲料 免税 优惠 增值税 免征,1、《财政部、国家税务总局关于饲料产品免征增值税问题的通知》（财税[2001]121号）；2、《国家税务总局关于粕类产品征免增值税问题的通知》（国税函[2010]75号）；3、《国家税务总局关于饲用鱼油产品免征增值税的批复》（国税函[2003]1395号）； 4、《国家税务总局关于饲料级磷酸二氢钙产品增值税政策问题的通知》（国税函[2007]10号）；5、《国家税务总局关于精料补充料免征增值税问题的公告》（国家税务总局公告2013年第46号）； 6、《国家税务总局关于矿物质微量元素舔砖免征增值税问题的批复》（国税函[2005]1127号）；     7、《财政部、国家税务总局关于矿物质微量元素舔砖免征进口环节增值税的通知》（财关税[2006]73号）；8、《国家税务总局关于宠物饲料征收境值税问题的批复》（国税函[2002]812号）； 9、《财政部、国家税务总局关于免征饲料进口环节增值税的通知》（财税[2001]82号）；   10、《海关总署关于对部分饲料继续免征进口环节增值税的通知》（署税发[2001]344号）。,1、膨化血粉、膨化肉粉、水解羽毛粉不属于现行增值税优惠政策所定义的单一大宗饲料产品，应对其照章征收增值税。 添加其他成分的膨化血粉、膨化肉粉、水解羽毛粉等饲料产品，不符合现行增值税优惠政策有关混合饲料的定义，应对其照章征收增值税。2、自2013年9月1日起，精料补充料产品申请享受免征增值税政策时，应按照《财政部、国家税务总局关于饲料产品免征增值税问题的通知》（财税[2001]121号）以及《国家税务总局关于取消饲料产品免征增值税审批程序后加强后续管理的通知》（国税函[2004]第884号）等相关文件规定办理。此前已发生并处理的事项，不再做调整。3、宠物饲料产品不属于免征增值税的饲料，应按照饲料产品按13%的税率征收增值税。,1、单一大宗饲料：指以一种动物、植物、微生物或矿物质为来源的产品或其副产品。其范围仅限于糠麸、酒糟、鱼粉、草饲料、饲料级磷酸氢钙及除豆粕以外的菜子粕、棉子粕、向日葵粕、花生粕等粕类产品。2、混合饲料：指由两种以上单一大宗饲料、粮食、粮食副产品及饲料添加剂按照一定比例配置，其中单一大宗饲料、粮食及粮食副产品的参兑比例不低于95%的饲料。3、配合饲料：指根据不同的饲养对象，饲养对象的不同生长发育阶段的营养需要，将多种饲料原料按饲料配方经工业生产后，形成的能满足饲养动物全部营养需要（除水分外）的饲料。4、复合预混料：指能够按照国家有关饲料产品的标准要求量，全面提供动物饲养相应阶段所需微量元素（4种或以上）、维生素（8种或以上），由微量元素、维生素、氨基酸和非营养性添加剂中任何两类或两类以上的组分与载体或稀释剂按一定比例配置的均匀混合物。5、浓缩饲料：指由蛋白质、复合预混料及矿物质等按一定比例配制的均匀混合物。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
5,5,增值税,支持三农,肥料饲料,农业合作社,农民专业合作社，是指依照《中华人民共和国农民专业合作社法》规定设立和登记的农民专业合作社,免征,农业合作社增值税免征优惠,1、自2008年7月1日起，对农民专业合作社销售本社成员生产的农业产品，视同农业生产者销售自产农业产品免征增值税。增值税一般纳税人从农民专业合作社购进的免税农业产品，可按13%的扣除率计算抵扣增值税进项税额。2、对农民专业合作社向本社成员销售的农膜、种子、种苗、化肥（自2015年9月1日起停止执行）、农药、农机，免征增值税。3、对农民专业合作社与本社成员签订的农业产品和农业生产资料购销合同，免征印花税。,,免税 优惠 农业合作社 增值税 免征,1、《财政部、国家税务总局关于农民专业合作社有关税收政策的通知》（财税[2008]81号）； 2、《财政部、国家税务总局关于对化肥恢复征收增值税政策的补充通知》（财税[2015]97号）；,,库存化肥，是指纳税人2015年8月31日前生产或购进的尚未销售的化肥。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
6,6,增值税,支持三农,农村建设,种源进口,免税进口种子（苗）种畜（禽）鱼种（苗）应同时符合以下条件： （一）与农林业生产密切相关，并直接用于或服务于农林业生产的下列种子(苗)、种畜(禽)和鱼种(苗)（以下简称种子种苗）： 1.用于种植和培育各种农作物和林木的种子（苗）； 2.用于饲养以获得各种畜禽产品的种畜（禽）； 3.用于培育和养殖的水产种（苗）； 4.用于农林业科学研究与试验的种子（苗）、种畜（禽）和水产种（苗）。 （二）野生动植物种源。 （三）警用工作犬及其精液和胚胎。,免征,种源进口增值税免征优惠,为支持引进和推广良种，加强物种资源保护，丰富我国动植物资源，发展优质、高产、高效农林业，经国务院批准，在“十二五”期间（2011年1月1日至2015年12月31日）和“十三五”期间（2016年1月1日到2020年12月31日），对进口种子（苗）、种畜（禽）、鱼种（苗）和种用野生动植物种源免征进口环节增值税。,,免税 种源进口 优惠 增值税 免征,1、《财政部、海关总署、国家税务总局关于印发〈“十二五”期间进口种子种源免税政策管理办法〉的通知》（财关税[2011]76号）2、《财政部、海关总署、国家税务总局关于“十三五”期间进口种子种源税收政策管理办法的通知》（财关税[2016]64号）3、《关于2019年度种子种源免税进口计划的通知》（财关税〔2019〕7号）,种源进口免税申请：在“十三五”期间，即2016年1月1日至2020年12月31日，继续对进口种子(苗)、种畜(禽)、鱼种(苗)和种用野生动植物种源（以下简称种子种源）免征进口环节增值税（以下简称免税）。 免税申请条件: （一）种子种苗进口免税应同时符合以下条件：1.在免税货品清单内，即属于附件1第一至第三部分所列货品。2.直接用于或服务于农林业生产。免税进口的种子种苗不得用于度假村、俱乐部、高尔夫球场、足球场等消费场所或运动场所的建设和服务。（二）野生动植物种源进口免税应同时符合以下条件： 1.在免税货品清单内，即属于附件1第四部分所列货品。2.用于科研，或育种，或繁殖。进口单位应是具备研究和培育繁殖条件的动植物科研院所、动物园、专业动植物保护单位、养殖场和种植园。（三）免税进口工作犬相关货品应为军队、武警、公安、安全部门(含缉私警察)进口的警用工作犬，以及繁育用的工作犬精液和胚胎。,免税政策操作流程:（一）种子种苗和野生动植物种源操作流程。申请免税进口第二条（一）、（二）项下货品的进口单位，应向农业部或国家林业局（以下称产业主管部门）提出年度免税进口需求。产业主管部门汇总后向财政部提出年度免税进口建议，财政部会同海关总署和国家税务总局在附件1所列免税货品清单范围内，核定年度免税进口计划。产业主管部门在年度免税进口计划内为进口单位进行有关单据的标注工作。进口单位在产业主管部门标注的免税品种、数量范围内，按有关规定向海关申请办理减免税手续。（二）工作犬相关货品操作流程。申请免税进口第二条（三）项下货品且符合第三条（三）项规定的进口单位，凭主管部门出具的证明有关工作犬和工作犬精液及胚胎属于免税品种范围的说明文件，以及其他相关材料，按有关规定向海关申请办理减免税手续。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
7,7,增值税,支持三农,其他,部分鲜活肉蛋产品,从事农产品批发、零售的纳税人销售的部分鲜活肉蛋产品。,免征,部分鲜活肉蛋产品增值税免征优惠,自2012年10月1日起，免征部分鲜活肉蛋产品流通环节增值税。,,免税 部分鲜活肉蛋产品 优惠 增值税 免征,《财政部、国家税务总局关于免征部分鲜活肉蛋产品流通环节增值税政策的通知》（财税[2012]75号）,1、免税产品不包括《中华人民共和国野生动物保护法》所规定的国家珍贵、濒危野生动物及其鲜活肉类、蛋类产品。2、从事农产品批发、零售的纳税人既销售上述规定的部分鲜活肉蛋产品又销售其他增值税应税货物的，应分别核算鲜活肉蛋产品和其他增值税应税货物的销售额；未分别核算的，不得享受部分鲜活肉蛋产品增值税免税政策。,免征增值税的鲜活肉产品，是指猪、牛、羊、鸡、鸭、鹅及其整块或者分割的鲜肉、冷藏或者冷冻肉，内脏、头、尾、骨、蹄、翅、爪等组织。  免征增值税的鲜活蛋产品，是指鸡蛋、鸭蛋、鹅蛋，包括鲜蛋、冷藏蛋以及对其进行破壳分离的蛋液、蛋黄和蛋壳。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
8,8,增值税,支持其他各项事业,其他,蔬菜流通环节,从事蔬菜批发、零售的纳税人销售的蔬菜,免征,蔬菜流通环节增值税免征优惠,自2012年1月1日起，免征蔬菜流通环节增值税。,,免税 优惠 增值税 蔬菜流通环节 免征,《财政部、国家税务总局关于免征蔬菜流通环节增值税有关问题的通知》（财税[2011]137号）,纳税人既销售蔬菜又销售其他增值税应税货物的，应分别核算蔬菜和其他增值税应税货物的销售额；未分别核算的，不得享受蔬菜增值税免税政策。,蔬菜是指可作副食的草本、木本植物，包括各种蔬菜、菌类植物和少数可作副食的木本植物。蔬菜的主要品种参照《蔬菜主要品种目录》执行。1、经挑选、清洗、切分、晾晒、包装、脱水、冷藏、冷冻等工序加工的蔬菜，属于本《通知》所述蔬菜的范围。2、各种蔬菜罐头不属于本《通知》所述蔬菜的范围。蔬菜罐头是指蔬菜经处理、装罐、密封、杀菌或无菌包装而制成的食品。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
9,9,增值税,支持其他各项事业,其他,销售边销茶,边销茶生产企业销售自产的边销茶及经销企业销售的边销茶,免征,销售边销茶增值税免征优惠,自2019年1月1日起至2020年12月31日，免征增值税。,,免税 销售边销茶 优惠 增值税 免征,《关于继续执行边销茶增值税政策的公告 》（财政部 税务总局公告2019年第83号）,本公告发布之前已征的按上述规定应予免征的增值税税款，可抵减纳税人以后月份应缴纳的增值税税款或予以退还。已向购买方开具增值税专用发票的，应将专用发票追回后方可办理免税。无法追回专用发票的，不予免税。,所称边销茶，是指以黑毛茶、老青茶、红茶末、绿茶为主要原料，经过发酵、蒸制、加压或者压碎、炒制，专门销往边疆少数民族地区的紧压茶、方包茶（马茶）。,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
10,10,增值税,支持其他各项事业,其他,公用事业,,免征,公用事业增值税免征优惠,,,免税 优惠 公用事业 增值税 免征,,,,,,,active,,,,,,excel,1,,2026-01-09 10:28:56,2026-01-09 10:28:56,
